120 100 15000.0
10 61 63 129620.1
39 3 45 1206216.1
34 39 78 1105334.1
48 11 78 1710803.0
5 28 39 432187.5
24 58 109 1374289.9
39 21 33 402888.0
71 19 65 1172151.2
24 49 83 1092956.6
6 8 58 1294745.5
83 7 55 1231104.4
50 5 79 1826695.1
100 14 103 2314815.5
11 85 87 132104.7
29 17 120 2459132.0
58 80 94 354899.0
94 6 72 1785816.5
8 37 42 225747.1
96 107 113 234804.8
43 45 104 1760262.5
72 21 115 2484643.5
79 10 11 105208.2
93 105 114 231691.7
78 3 91 2260663.3
6 7 9 148178.4
73 51 98 1213243.2
66 52 101 1367409.9
33 36 70 944710.2
56 55 92 919737.2
16 51 93 980053.1
41 11 87 2037392.8
32 15 73 1524794.5
36 74 99 578414.2
91 9 19 277737.2
1 28 109 2102057.6
45 9 77 1591681.3
12 25 34 300379.8
47 6 102 2588159.3
62 87 117 959232.1
77 59 64 149909.8
67 3 20 526618.3
98 18 93 2119121.9
20 64 71 260884.4
40 44 92 1249684.8
62 46 58 447449.2
35 19 88 1819154.8
4 39 115 2061261.8
75 80 87 261758.3
26 89 94 158241.4
12 32 91 1470755.0
78 38 119 2101927.8
86 100 103 120001.3
93 64 73 385600.2
89 81 90 321802.1
99 74 83 323794.6
77 50 89 1034332.0
10 21 106 2191508.6
45 13 120 2589543.6
88 67 111 1192152.3
88 1 116 2827863.7
80 58 75 556843.1
39 24 44 668061.9
97 14 31 484224.3
89 43 62 581627.8
65 53 119 1571970.5
96 91 112 546157.7
97 7 53 1251208.7
19 32 108 1934457.6
44 89 117 803406.2
46 26 53 788243.1
26 1 55 1455972.9
5 10 53 1077599.8
38 2 107 2611983.9
28 17 57 1163557.3
72 69 76 316787.6
14 85 99 432880.9
40 5 29 625002.4
67 26 88 1724759.9
48 33 46 381352.8
74 24 119 2366812.7
24 56 117 1522826.3
45 65 98 932959.2
35 11 51 1092305.5
69 87 114 784940.5
49 4 37 994671.0
39 51 76 723633.8
86 42 114 1706257.4
82 22 108 2302638.4
61 44 91 1223863.3
16 25 115 2008092.4
33 66 68 122818.2
95 1 21 581758.2
23 21 35 495876.5
20 7 20 406403.4
78 1 95 2381976.2
50 54 68 339774.6
100 64 72 327492.1
18 13 98 2239528.7
52 46 101 1298563.0
93 33 60 813128.2
41 99 103 157757.1
70 27 45 581786.0
59 9 98 2281928.1
59 64 104 1104647.0
86 35 118 1946234.1
41 10 73 1665754.3
32 27 103 2019045.8
48 45 119 1807933.7
75 7 38 945073.9
79 42 57 521726.5
42 8 26 567210.1
8 68 113 1214785.2
92 99 111 456459.3
4 28 57 866862.9
3 34 104 1782213.3
64 49 87 982084.2
56 16 21 240507.2
86 46 106 1452304.4
36 109 117 322189.8
71 8 14 213827.4
82 61 94 1056218.0
57 8 99 2331226.5
5 25 92 1796870.5
32 31 116 2263933.7
22 15 100 2311410.4
8 49 112 1748633.9
17 4 10 160473.5
22 96 110 472317.7
63 117 120 98372.5
15 63 77 448938.3
60 17 84 1668355.2
9 58 67 232094.0
23 1 85 1930552.6
67 31 45 552626.4
18 38 112 1911422.8
88 32 41 319860.1
88 4 14 393134.0
54 40 77 888247.6
31 73 98 819464.7
56 66 84 531935.1
26 10 86 2035390.6
48 25 58 911391.5
39 90 112 610745.3
26 76 104 812925.5
90 21 79 1610545.9
93 12 78 1877794.0
19 35 114 1983964.7
26 14 79 1755639.1
42 6 116 2816193.9
58 62 93 727390.5
83 5 29 754544.6
2 19 60 1108139.8
77 26 52 761854.4
31 7 50 1056893.7
12 13 39 644175.1
85 71 116 1252758.7
55 75 112 1107334.9
78 31 47 477271.0
5 17 64 1279937.0
4 11 103 2523136.9
61 76 82 348521.6
26 52 61 417718.3
40 22 39 417456.4
40 69 95 770531.6
96 42 102 1444415.5
4 20 72 1399252.7
87 26 103 2048492.7
10 67 119 1434359.9
12 29 114 2145974.4
21 17 53 883192.3
31 41 104 1624514.3
82 12 77 1858326.9
37 10 114 2784160.7
87 31 81 1376100.1
64 7 95 2045861.9
93 35 75 1227129.1
28 38 80 1177540.0
41 42 50 307915.0
48 81 87 323938.1
13 21 70 1359338.2
22 1 113 2875523.6
17 4 46 952286.8
60 40 110 1762197.8
75 45 95 1292935.8
18 20 75 1394122.5
8 2 64 1822449.3
53 22 102 2107318.6
100 56 72 551050.3
74 38 81 1091485.9
73 52 86 959339.1
21 85 109 726235.8
95 29 77 1253416.7
75 41 65 760026.5
52 6 6 93726.2
59 66 98 974596.3
69 21 93 1808364.4
46 20 24 178741.7
69 4 112 2722953.6
34 112 115 181625.2
27 16 35 530940.2
79 91 114 716624.5
90 46 58 413894.9
41 88 91 254896.4
28 61 69 344432.9
72 19 109 2357393.0
61 28 116 2268036.3
33 16 79 1659182.6
47 24 86 1805803.3
25 75 76 100987.3
25 9 90 2096495.6
70 26 111 2217994.8
76 52 53 36404.3
13 45 99 1448558.2
54 78 105 641899.7
36 23 38 475126.2
100 63 71 301927.9
16 70 72 113519.5
74 101 120 571385.4
76 26 87 1381104.3
3 84 97 494257.2
29 25 102 1907926.0
31 15 34 569638.5
39 59 116 1616587.8
14 56 95 981366.4
7 95 109 395155.7
69 98 100 106766.5
27 23 113 2237692.9
55 6 23 402605.9
94 23 33 360979.0
11 70 88 487132.1
92 8 98 2179858.8
51 22 58 899747.1
29 7 34 802676.9
55 67 110 1340977.0
51 92 101 323783.8
89 34 38 233018.4
5 27 47 652443.5
51 16 117 2291472.1
48 57 107 1351216.7
53 8 105 2520300.6
93 13 96 2264419.3
10 49 70 663639.0
56 25 73 1261949.6
82 31 73 1212640.0
84 13 58 1333721.3
48 64 71 279000.7
32 41 111 1921958.6
81 23 34 363258.2
15 42 95 1363326.6
77 94 95 104308.3
67 22 74 1418798.5
15 7 50 1134313.0
17 74 120 1111142.1
80 113 113 56830.8
6 54 73 583334.8
89 111 113 109971.9
11 17 101 2164044.5
8 60 109 1319569.0
73 93 119 739281.9
41 20 97 1932822.1
56 71 120 1276821.1
20 49 83 865896.3
32 52 116 1700139.2
16 35 51 316992.1
90 81 87 226391.6
24 8 103 2601348.6
19 66 88 604867.3
38 38 58 621158.4
83 15 42 818746.6
35 77 95 617363.6
63 38 44 219823.4
7 78 117 1146758.4
52 24 70 1221363.2
94 75 107 887443.0
9 19 109 2248571.7
15 11 14 157064.0
24 2 94 2617217.3
11 56 92 939921.8
48 15 38 826659.3
59 75 103 795623.6
23 22 62 1000525.0
34 6 86 2012668.3
31 11 112 2551303.7
50 37 57 600906.3
65 13 44 806996.4
16 6 59 1197216.9
11 15 82 1759749.2
24 8 89 2328738.6
57 99 113 508114.6
32 95 99 204124.5
44 90 120 854642.7
92 101 101 93881.5
42 10 80 1857053.4
22 52 111 1554276.7
42 35 51 488964.7
59 90 113 616509.3
30 33 109 1968264.5
96 93 119 663059.8
15 74 99 728442.2
7 57 95 1143179.1
1 13 27 345610.8
72 22 46 823953.9
80 15 114 2632581.8
48 11 86 1962011.9
95 31 46 402909.4
67 45 120 1844412.0
56 100 103 131236.0
43 67 95 1023711.9
28 49 73 699843.9
75 29 45 469704.8
78 59 88 875983.2
28 5 67 1668172.5
94 93 103 383341.5
59 13 38 704459.3
16 72 110 960780.5
77 35 95 1500518.6
86 11 14 184713.3
52 72 106 805057.8
8 69 92 583634.8
100 97 101 172620.0
49 15 23 309789.0
34 18 40 605534.9
70 29 65 1004569.1
68 12 25 465828.9
81 28 117 2084837.7
11 11 11 15960.7
92 21 107 2100109.0
62 103 107 204512.6
64 52 60 305850.0
26 60 91 881563.3
66 19 20 87227.6
12 58 77 514341.3
83 45 74 712425.8
43 38 94 1642941.2
85 63 68 221636.0
28 16 66 1358502.5
50 18 22 218927.1
10 34 112 2110398.9
71 58 93 952009.3
73 22 97 1903379.4
67 39 76 1071577.3
91 27 75 1386618.5
37 41 57 551449.3
84 17 29 436782.6
40 1 46 1227445.8
24 15 32 556808.0
47 79 107 822489.0
35 51 84 954561.5
31 49 80 825373.6
10 77 95 562849.5
76 89 107 564340.3
69 18 63 1143050.2
26 16 107 2438116.8
31 31 77 1128154.8
76 24 79 1329004.0
37 93 116 683311.0
36 13 32 551015.0
7 10 92 2238962.8
24 41 41 89606.6
43 18 68 1356037.0
23 14 112 2286423.3
62 55 82 689207.9
77 38 112 1810462.3
72 55 105 1367546.6
59 109 117 265775.6
62 28 86 1510192.0
65 49 94 1121484.2
3 16 72 1357534.9
2 31 61 845360.6
81 9 73 1498428.9
58 90 96 172759.6
30 25 25 95816.2
96 16 92 1848782.1
30 11 88 2064975.7
49 37 80 1136952.0
76 71 100 688257.2
21 25 101 2020299.5
19 34 63 739554.7
94 2 118 2894245.6
8 104 110 340487.2
81 68 72 211402.5
1 61 76 462799.9
21 10 58 1166616.6
6 12 73 1514172.2
77 51 60 305205.2
58 23 81 1325822.4
42 8 61 1463285.4
75 41 69 886989.0
91 89 114 752120.1
36 4 117 2613091.2
27 25 47 547813.4
13 46 115 1733295.9
60 26 117 2262185.2
45 23 58 900588.5
92 46 46 105808.4
94 97 108 419882.0
97 94 119 734451.3
9 9 41 775543.7
39 23 45 702499.5
62 67 101 937492.2
4 86 87 65553.5
19 59 63 150321.6
48 37 76 898350.0
12 88 99 375160.0
53 4 45 1241291.9
66 43 114 2003205.1
47 52 54 129849.7
84 6 67 1711178.2
59 22 43 585138.6
80 88 118 955248.0
100 1 36 1051944.2
29 9 91 2017779.8
1 24 93 1810054.9
5 36 40 139465.3
13 45 45 91708.7
13 45 67 649593.2
23 70 94 596782.9
46 25 35 279090.1
81 35 118 1968109.8
98 71 89 525721.6
12 85 111 804411.1
69 89 108 635332.6
26 15 18 120993.2
97 58 67 325039.5
35 32 55 693740.7
77 25 93 1690096.0
93 23 24 131719.3
63 29 92 1605480.0
71 105 105 72654.1
34 54 97 1149136.2
56 25 103 1939628.0
6 56 97 1237015.6
46 26 72 1236356.0
26 40 48 300649.0
60 36 86 1285537.5
22 22 79 1605748.0
29 43 105 1488296.2
92 12 42 815541.0
22 29 99 1881984.4
79 19 73 1571014.5
50 18 36 521930.8
27 81 102 604384.8
18 32 44 373910.4
49 72 76 175387.1
55 25 46 639252.4
75 91 114 743490.0
36 14 37 666060.5
59 92 92 86235.2
23 4 58 1336237.7
90 108 117 306701.3
58 49 61 281158.7
64 1 57 1338671.9
90 79 107 835240.5
88 12 50 997178.4
57 59 88 882535.1
24 105 114 282002.5
18 14 54 1044884.1
19 17 65 1221466.5
92 9 84 1838821.4
39 65 75 297233.4
39 18 64 1307534.6
69 67 117 1299736.1
33 10 34 705532.5
6 46 75 795384.4
20 60 63 214613.8
9 6 107 2431921.4
44 13 74 1618258.4
19 76 81 239228.6
51 3 60 1448123.3
39 14 105 2407824.0
36 10 99 2016528.0
39 57 70 391651.8
100 56 104 1345003.0
16 12 46 747583.0
41 62 70 319418.6
98 21 40 644653.0
73 45 56 324684.4
38 33 51 617313.2
61 73 73 75858.6
98 18 100 2282424.1
94 30 109 2070990.9
90 115 117 135516.0
21 87 114 791588.3
73 2 24 583482.2
100 54 58 211856.0
20 28 61 863253.3
40 66 89 617668.7
33 41 102 1485806.6
51 20 110 2034987.7
86 40 76 930569.8
39 55 78 683329.8
1 6 95 2182336.9
90 56 59 165885.4
28 17 72 1516207.3
7 15 97 2161884.5
4 53 56 156930.8
78 46 72 789138.3
83 26 111 2113697.9
76 86 92 216877.8
49 42 47 165763.4
61 25 52 778453.9
33 5 45 1172756.0
91 21 47 756139.3
97 2 83 2090160.7
56 62 101 991720.2
33 58 91 836829.5
76 60 69 361056.5
2 15 74 1543652.2
27 68 114 1255682.4
32 84 109 738807.2
40 57 98 1155422.2
47 27 106 2169427.4
98 78 91 400852.6
61 7 61 1271730.5
27 10 27 523510.1
59 36 102 1727599.9
66 26 41 542146.5
10 3 96 2412634.2
88 10 27 505208.9
98 74 103 803266.4
50 88 97 351879.3
38 31 116 2176246.2
31 18 110 2292203.0
14 27 63 1042858.9
49 35 40 266784.1
88 86 95 343314.3
86 48 76 794942.3
3 17 24 184353.5
74 33 62 770941.9
56 72 110 1043444.6
84 67 71 150712.5
13 45 118 1796773.3
46 13 89 1889496.4
2 12 50 1084075.3
55 19 46 736189.8
35 67 109 1265898.6
46 19 91 1802387.8
84 46 109 1708275.9
4 95 115 576245.7
59 35 52 562786.2
90 25 51 798817.8
15 69 96 735763.9
30 96 108 354030.1
86 95 103 240370.0
91 10 118 2898386.4
40 39 96 1513965.0
34 38 118 2211271.3
93 41 110 1830072.9
96 18 64 1239505.9
12 65 70 165862.5
61 21 52 846921.6
3 12 25 366971.3
8 46 94 1225614.7
56 53 78 756931.0
63 16 77 1594437.8
100 13 81 1863622.0
56 32 74 1145659.7
41 40 120 2070638.3
4 30 108 2201553.8
62 9 15 183623.2
39 80 106 819626.5
75 57 78 598782.1
6 77 89 550472.7
5 43 77 989919.5
6 92 106 409450.3
41 73 103 880174.4
25 12 113 2481573.6
69 60 62 133986.0
94 2 101 2569885.0
58 52 113 1310359.8
25 50 90 1072045.8
52 51 79 794932.3
64 4 118 2723458.9
37 46 46 32472.3
62 7 53 1283129.0
45 1 74 1774407.1
18 74 82 367678.2
95 39 64 695780.8
13 48 63 470074.0
76 3 26 643125.2
43 82 94 617038.9
88 31 70 966723.4
80 53 83 954126.8
23 55 64 283244.5
95 74 120 1229413.7
78 46 99 1488365.5
13 23 24 21883.0
2 28 49 759661.0
9 3 9 202252.0
54 18 102 1911321.1
6 94 107 407929.2
41 63 103 1112358.6
46 66 66 24499.1
68 9 83 1964814.7
37 56 82 666351.5
92 27 90 1618995.5
60 65 103 960317.9
25 41 96 1391176.9
3 53 77 690009.7
90 99 120 620796.2
60 61 108 1179375.3
85 33 62 898691.9
30 31 77 1268450.3
51 27 51 649649.2
25 64 69 184862.7
44 49 71 751157.0
59 70 115 1210352.3
68 52 56 118504.7
24 41 68 1049518.8
93 69 116 1237992.9
29 46 100 1342422.9
71 7 60 1343206.7
48 24 91 1776438.6
64 28 69 1056790.2
33 7 84 1977866.2
61 58 75 463674.7
99 66 93 743779.3
8 11 55 1279389.0
15 4 27 750159.1
59 47 97 1384854.5
20 4 31 796508.1
90 22 46 741266.4
71 32 52 580242.4
86 72 91 522370.3
90 34 34 78363.0
35 34 70 989748.1
22 13 43 982744.1
66 77 103 782159.2
44 56 82 888368.7
30 40 97 1691005.4
73 58 95 969048.5
35 24 95 1903468.5
80 64 104 1110457.5
80 2 20 531146.5
82 46 93 1270091.0
76 45 49 260261.6
47 13 34 663900.0
16 21 48 639667.5
20 52 60 298815.1
50 11 57 1145772.1
61 36 42 209601.6
13 15 29 428713.0
95 30 81 1293757.4
44 1 109 2827892.4
12 25 51 660897.5
24 26 85 1714978.9
31 59 97 1087297.7
44 13 110 2518960.5
83 63 96 926407.7
77 10 37 902251.0
51 10 111 2393602.2
67 9 67 1618706.9
29 44 81 978818.2
94 64 101 1027823.3
98 81 106 841457.5
20 62 80 497853.2
34 32 37 172309.9
54 108 108 51157.9
48 75 100 758290.5
15 96 119 707268.5
75 82 116 934762.7
83 14 18 141611.4
47 8 34 735224.5
72 11 25 552074.6
75 47 78 888381.6
63 60 115 1496467.0
50 60 120 1639488.2
92 60 71 295529.3
56 28 33 197903.4
91 11 34 651022.9
87 13 23 388471.5
32 7 71 1668994.8
64 102 105 174536.8
67 23 72 1378014.5
95 69 94 727352.6
94 3 47 1154508.7
94 39 100 1665679.0
84 41 96 1547011.7
61 20 112 2308463.7
47 84 87 143655.3
27 61 92 924870.0
60 43 120 1922739.5
81 1 24 529140.1
41 12 18 304136.4
15 23 48 587109.9
19 51 70 619598.6
22 31 77 1318430.4
28 64 83 582542.1
79 28 108 2288902.8
12 6 18 313768.7
21 61 109 1361894.7
85 89 113 750382.3
75 25 116 2341640.0
73 38 66 854842.1
58 30 105 1699269.1
45 14 112 2386893.9
40 74 85 372812.6
69 1 45 1157966.4
91 74 74 106527.2
92 13 56 1201229.2
8 42 82 1084028.6
6 2 103 2664768.2
65 45 45 64880.9
4 43 95 1455369.8
25 44 49 187913.3
4 60 70 356745.6
82 101 102 112520.9
93 16 68 1496072.1
89 14 66 1191386.4
42 28 97 1814288.7
48 45 98 1316263.8
41 98 100 124428.6
33 21 23 117391.5
2 96 98 145720.5
32 9 67 1550329.3
1 26 72 1262064.2
21 4 68 1673265.1
52 57 115 1347805.0
60 61 79 527729.7
8 95 117 786352.2
75 71 113 1164017.3
67 19 30 354439.4
30 3 29 729263.6
1 36 120 2169286.5
85 14 20 259053.7
98 53 81 837063.5
1 53 116 1699713.1
69 16 55 1014052.8
73 101 115 449887.1
82 72 87 515234.7
13 22 104 2107728.8
21 57 78 710881.5
35 50 113 1835667.5
76 59 100 973932.8
78 30 38 228990.6
22 32 97 1775778.7
58 40 49 296790.0
95 34 63 712034.7
79 81 95 466979.1
86 80 107 698636.3
91 27 58 911725.7
60 38 82 1195661.0
51 16 102 1999354.7
17 26 98 1865894.0
50 27 78 1307409.4
57 37 39 162595.2
90 20 46 779347.7
87 40 72 979674.1
69 22 41 513690.0
17 42 47 162655.1
92 36 54 651082.9
72 59 88 865567.7
69 22 43 553603.0
35 70 84 501933.7
56 29 68 995435.2
55 67 73 315978.2
54 2 52 1313440.1
68 43 47 260763.1
22 21 92 1891591.7
64 35 73 1012430.7
69 10 38 698900.2
82 32 43 421014.3
92 10 27 510843.2
5 17 91 1901344.9
83 59 59 85816.0
62 67 80 388382.5
16 68 117 1227337.2
68 62 77 488113.7
63 93 93 19125.1
25 4 34 941018.0
16 62 112 1237640.2
80 86 100 430945.9
19 22 49 732787.0
40 22 54 858695.8
11 82 99 552654.7
56 13 39 754452.6
57 16 19 166106.9
89 1 1 24426.8
72 75 94 516395.7
11 23 111 2196282.6
37 86 94 318845.5
88 16 57 1131195.9
4 2 62 1708119.4
36 19 89 1623505.3
98 25 97 2048682.1
8 57 108 1375007.3
82 6 54 1520317.1
22 21 117 2553545.7
27 15 36 581024.6
3 70 93 687838.3
61 39 72 857371.9
34 43 64 592023.7
97 51 67 452452.1
62 41 83 1081243.4
71 3 69 1666639.8
20 45 89 1031933.5
71 2 22 636235.8
24 7 13 241811.6
31 37 89 1345351.8
39 29 54 805883.9
81 65 76 371157.9
36 27 55 803746.0
89 71 98 743629.1
27 73 90 539486.4
47 24 46 733514.2
57 21 63 1094691.8
30 10 23 382079.6
42 2 101 2491355.2
59 92 93 114630.0
39 38 70 901294.0
77 43 57 386154.4
15 13 63 1368956.5
77 26 70 1115845.3
22 108 114 166568.0
38 10 40 823829.3
94 38 88 1373369.3
68 49 89 1058560.7
82 64 91 867524.4
5 6 57 1323190.5
28 13 109 2492374.0
70 4 105 2496601.4
54 33 104 1623048.2
59 55 55 13369.6
63 54 58 182242.4
21 28 62 983144.9
38 4 22 566240.7
87 61 102 1161758.4
3 73 120 1440976.3
51 95 102 284410.0
37 6 111 2798562.5
36 33 52 591023.2
51 92 118 668453.4
49 20 84 1598695.9
55 48 76 890290.9
66 34 56 677313.8
49 100 112 485483.2
64 37 82 1144871.5
78 7 15 313337.9
66 72 99 775297.6
41 26 103 1984793.9
21 1 96 2419113.6
32 25 113 2336906.0
81 16 116 2344150.9
2 25 109 2103604.7
73 17 92 1931640.9
45 39 68 703187.2
14 31 46 511367.8
91 49 63 533355.0
41 50 84 970979.6
20 18 91 1753711.2
35 32 96 1760220.2
33 8 82 1921686.4
49 6 68 1718028.2
55 41 60 630876.1
78 49 63 502642.6
40 52 60 297542.9
67 5 74 1862869.2
20 33 116 2050915.2
33 77 81 225507.3
31 11 24 447688.5
39 41 75 981705.5
68 87 114 791898.2
67 78 97 503389.3
79 78 97 631044.4
33 8 88 2018646.2
12 24 76 1299976.5
84 20 105 2285895.2
93 8 60 1467135.6
63 80 100 596869.8
90 61 63 174392.5
14 20 52 936199.1
29 22 111 2125677.3
39 6 94 2348470.3
20 21 47 703834.9
86 11 116 2599695.4
97 93 119 775490.8
11 22 80 1524202.6
80 93 109 562947.3
17 31 51 609959.4
42 67 75 248758.8
63 60 83 612248.4
96 48 62 396964.3
23 1 60 1468104.1
48 6 75 1819383.1
37 15 101 2371774.0
82 69 110 1152577.5
7 65 103 1082523.5
60 22 77 1476314.8
58 78 89 314288.9
87 3 100 2558925.4
8 53 82 779422.7
95 30 45 402808.8
60 19 58 1091904.6
69 100 116 492310.9
14 36 42 263156.4
67 78 87 358205.1
78 16 26 331554.4
44 20 55 923947.2
29 46 102 1411375.5
64 83 86 165460.0
99 21 85 1790507.5
1 29 86 1425624.3
45 42 118 1826585.4
24 15 89 2122574.3
48 103 120 443268.1
55 32 55 726243.2
79 7 78 1947593.8
42 27 78 1357835.3
58 67 120 1266476.5
100 61 120 1583397.1
64 51 104 1303161.0
31 10 75 1570478.4
14 55 84 724434.7
73 7 51 1107133.8
30 85 115 835043.9
56 5 75 1855297.4
38 3 51 1268110.2
80 11 48 993565.5
89 54 81 703959.2
43 13 42 856669.2
12 23 56 879901.7
87 69 95 847093.9
100 42 79 1091113.0
49 70 119 1379700.4
5 10 27 465636.3
95 13 80 1716393.3
83 11 112 2474247.6
48 39 86 1155278.9
75 25 46 595045.4
62 20 59 1141246.9
76 41 67 731857.6
53 61 94 989486.9
54 14 27 405849.6
44 75 93 568504.4
62 93 104 420522.3
82 11 50 1238218.8
41 17 50 923289.1
72 4 35 982473.3
10 13 28 534076.2
16 54 117 1580336.4
27 9 52 1094603.0
67 17 21 194416.9
61 84 95 456519.3
32 70 102 885551.1
67 18 77 1577870.0
78 65 80 500603.3
50 24 66 1018976.8
26 32 103 1912573.2
41 18 108 2263942.5
33 9 79 1822380.6
4 43 50 252908.8
52 79 119 967140.5
90 9 80 1979244.0
17 33 93 1609996.4
34 24 97 1850633.3
19 20 30 309712.2
30 35 58 658632.4
75 16 57 1208464.7
21 60 112 1476196.4
4 9 118 2876622.1
17 70 97 747276.8
55 27 90 1755646.3
33 52 86 873496.7
4 47 64 506814.9
3 8 40 731538.0
36 45 94 1115243.0
60 24 89 1601472.8
99 65 110 1130843.8
3 74 118 1396439.5
69 92 118 747302.0
35 30 56 750526.4
64 60 95 873302.4
48 59 109 1346397.0
37 11 48 1165883.3
18 21 112 2362425.9
12 17 20 100693.4
91 4 47 1049096.2
59 63 81 597501.5
87 46 86 1232904.5
9 84 87 149892.3
24 16 49 1035709.3
87 40 61 656105.8
11 19 116 2389357.7
70 28 120 2348394.6
33 30 72 1122005.7
87 58 75 710964.4
42 18 118 2652845.5
52 112 114 112967.7
23 81 112 912138.7
93 7 106 2673800.4
42 34 79 1202575.1
88 62 97 898832.5
4 2 90 2376953.5
84 5 104 2553570.0
39 34 82 1345871.2
75 38 95 1457739.0
100 41 102 1642018.0
83 5 26 656541.4
6 22 37 456126.6
5 10 66 1396736.3
34 72 97 696695.0
35 68 74 260311.0
13 28 106 2093942.3
20 19 78 1462748.6
98 3 15 422379.6
61 67 99 996827.7
91 48 57 391512.4
4 24 56 916358.3
23 70 89 497264.7
41 39 104 1717047.3
28 37 101 1716331.9
9 79 110 828515.5
77 5 70 1773479.8
61 41 112 1886728.7
38 5 28 659275.8
40 19 63 1079185.3
9 22 98 1920439.1
58 71 79 274011.3
71 30 60 772214.1
32 77 77 15436.6
52 12 17 217182.5
57 91 112 643151.8
63 25 78 1372768.1
98 4 65 1803451.4
66 38 66 912498.7
33 53 81 752165.6
100 1 3 97456.7
99 2 114 2760935.2
87 13 45 832550.5
87 5 95 2403811.3
91 15 113 2679724.8
53 107 115 314896.8
93 13 83 1947067.9
99 79 87 311273.9
29 31 79 1190638.8
45 11 111 2403327.7
13 118 119 93260.9
18 82 100 572990.8
68 23 82 1603284.1
79 64 117 1507657.3
12 7 96 2071609.5
60 96 119 619332.0
3 73 73 14474.3
89 7 42 867641.6
69 21 74 1357727.2
2 23 56 969458.5
7 52 116 1718981.1
89 12 75 1503637.3
6 91 95 236176.3
57 33 49 430118.3
78 9 111 2558596.8
53 29 44 547630.3
31 85 120 1033772.8
96 66 80 466886.1
35 22 67 1223249.9
73 19 95 1888036.6
8 39 106 1849431.1
97 74 105 823135.1
2 51 99 1217355.0
95 39 98 1544983.5
78 6 72 1742176.5
56 24 85 1525687.7
18 50 71 573012.9
45 10 49 1083626.2
60 55 96 1098809.5
96 22 89 1648892.5
82 10 106 2624539.9
35 89 102 475263.5
82 50 117 1777529.7
91 74 85 460144.2
45 53 101 1215245.0
45 45 58 384177.8
2 65 74 293920.9
12 26 96 1701963.8
37 3 81 2056821.6
16 43 72 722523.7
21 29 38 348175.2
23 37 110 1676878.9
67 72 104 836401.5
4 62 99 1099859.3
7 5 31 769018.7
13 62 115 1413149.8
7 48 66 657054.4
13 70 84 528258.1
15 94 117 708490.1
33 56 65 294439.6
89 24 99 1807487.6
32 51 105 1496552.9
42 111 118 232646.9
15 54 90 977262.7
85 93 116 665570.8
49 27 46 636699.9
89 3 111 2504365.9
95 18 46 785738.8
63 48 110 1630734.8
89 20 42 539934.1
11 77 100 670868.8
44 62 81 765098.1
44 23 29 270663.7
73 91 100 329133.5
100 23 110 2242024.2
89 12 39 640800.6
48 20 36 624486.6
97 48 67 564221.3
70 45 109 1712472.0
98 51 95 1260232.4
14 3 47 1182736.5
35 79 80 104139.2
58 1 114 2523614.5
83 16 67 1286624.3
83 67 116 1322762.0
61 62 97 1053972.1
70 39 86 1294148.8
19 101 110 330811.6
56 15 112 2424186.4
71 86 103 403845.4
42 50 76 714277.3
33 14 62 1291567.8
100 30 31 132407.0
11 8 113 2584945.3
79 16 25 359603.5
20 29 48 527602.7
52 102 112 369083.9
26 35 102 1813721.3
78 45 89 1168678.9
51 34 88 1309306.3
50 77 105 807700.2
18 50 74 674490.4
10 31 45 430427.2
83 32 104 1834815.3
13 42 95 1451644.7
83 97 107 356801.6
28 56 119 1498722.2
8 11 96 2194895.0
89 34 90 1455773.3
83 69 73 236277.2
93 25 44 673184.2
26 46 96 1367604.8
44 8 48 988363.5
13 17 103 2275762.3
82 17 18 101910.5
25 33 67 891075.5
69 89 118 901300.5
36 40 118 1772549.6
28 85 95 370790.0
12 48 57 401398.7
5 9 75 1648532.5
3 48 91 1134974.6
26 25 83 1621513.4
2 5 109 2512482.5
97 19 120 2554843.0
2 48 120 1745289.6
33 2 87 2184243.4
65 1 75 1795872.5
92 110 112 163847.1
78 18 45 715659.8
55 46 54 396886.8
22 20 115 2506046.0
59 24 41 491872.6
55 38 104 1909932.5
81 18 31 401358.4
92 6 79 1762902.3
30 24 50 709980.3
36 9 85 1749899.0
93 8 57 1413117.1
97 31 119 2231354.2
33 37 37 49926.1
99 44 118 1853667.4
20 21 34 432302.4
85 84 110 823227.3
82 20 120 2607893.4
5 60 99 1095350.1
84 38 66 842737.7
74 5 77 1896279.7
52 16 24 298515.2
11 32 99 1670105.2
28 42 95 1425151.9
9 11 120 2604430.3
36 42 97 1259210.6
14 2 54 1396836.8
51 40 111 1722455.9
19 4 86 1991979.3
31 48 74 647547.9
6 4 27 678451.2
74 94 110 436352.1
9 16 103 2190565.4
1 51 112 1679087.6
98 46 120 2162007.0
22 52 82 877155.1
17 55 87 982089.6
96 1 37 1142879.8
33 5 92 2191834.5
29 36 90 1323790.4
41 36 52 505696.1
44 66 118 1512048.4
22 113 120 238506.1
3 41 71 820230.5
80 29 35 238263.9
81 30 108 1799280.4
61 3 14 343820.6
32 68 75 258023.0
74 79 113 917704.4
48 1 106 2645082.7
1 58 76 602458.0
2 101 102 101394.2
45 44 70 653678.6
68 8 21 396293.3
23 73 76 85258.2
43 66 116 1547183.5
53 64 67 241236.1
71 13 97 2079377.7
24 26 35 260087.9
35 66 93 808170.8
43 4 72 1890622.0
78 1 27 752715.8
81 34 66 824091.0
38 67 71 137916.6
55 64 96 1004516.3
60 25 84 1485266.9
40 24 56 841012.8
